iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
5 , 12.19047619047619 , 0.5 , 0.5 , 21 , 75 , 45 , 141 , 3 , 21.494 , 21.494 , 26.03 , 26.03 , 1.413 , 0.949 , 46.564 , -0.07438825528334203 , 32.954 , 0.103 , 125.52406733725394
6 , 12.308970099667775 , 0.5 , 0.5 , 21 , 74 , 43 , 138 , 3 , 21.506 , 21.506 , 27.115 , 27.115 , 1.416 , 0.948 , 47.017 , -0.07844857956240292 , 33.204 , 0.103 , 126.62044594465695
3 , 12.4 , 0.6 , 0.6 , 21 , 63 , 30 , 114 , 3 , 15.037 , 15.037 , 25.218 , 25.218 , 1.39 , 0.941 , 47.365 , -0.17165893253161435 , 34.076 , 0.128 , 118.25436125966057
6 , 12.5 , 0.5 , 0.5 , 24 , 76 , 38 , 138 , 3 , 17.889 , 17.889 , 28.411 , 28.411 , 1.393 , 0.949 , 47.746 , -0.1764696067104255 , 34.276 , 0.103 , 124.2999179209011
5 , 12.597402597402597 , 0.5 , 0.5 , 21 , 76 , 44 , 141 , 3 , 21.483 , 21.483 , 27.102 , 27.102 , 1.42 , 0.949 , 48.119 , -0.14102107323996582 , 33.887 , 0.103 , 126.58489606513629
2 , 12.70408163265306 , 0.6 , 0.6 , 21 , 62 , 28 , 111 , 3 , 15.048 , 15.048 , 27.183 , 27.183 , 1.358 , 0.939 , 48.526 , -0.1399577529668094 , 35.733 , 0.103 , 120.23098503715977
4 , 12.7875 , 0.5 , 0.5 , 24 , 69 , 30 , 123 , 3 , 17.959 , 17.959 , 34.924 , 34.924 , 1.418 , 0.944 , 48.845 , -0.039731247142002935 , 34.446 , 0.103 , 130.88226679776125
4 , 12.892857142857142 , 0.5 , 0.5 , 21 , 74 , 40 , 135 , 3 , 21.506 , 21.506 , 29.618 , 29.618 , 1.428 , 0.947 , 49.247 , -0.09181908022795504 , 34.487 , 0.103 , 129.12422001725307
4 , 13.0 , 0.6 , 0.6 , 18 , 60 , 30 , 108 , 3 , 18.615 , 18.615 , 27.943 , 27.943 , 1.39 , 0.936 , 49.656 , -0.16865224599941014 , 35.724 , 0.103 , 124.55733953140387
5 , 13.090909090909088 , 0.6 , 0.6 , 18 , 63 , 33 , 114 , 3 , 18.573 , 18.573 , 25.939 , 25.939 , 1.385 , 0.938 , 50.004 , -0.08069494830266855 , 36.104 , 0.103 , 122.51177270759146
6 , 13.214285714285714 , 0.5 , 0.5 , 24 , 76 , 35 , 135 , 3 , 17.889 , 17.889 , 31.535 , 31.535 , 1.408 , 0.948 , 50.475 , -0.02726683109460487 , 35.849 , 0.103 , 127.42428993675844
5 , 13.291666666666666 , 0.6 , 0.6 , 18 , 59 , 28 , 105 , 3 , 18.63 , 18.63 , 30.091 , 30.091 , 1.399 , 0.934 , 50.77 , -0.08096305941779691 , 36.29 , 0.103 , 126.72006428693874
9 , 13.426470588235295 , 0.6 , 0.6 , 18 , 65 , 34 , 117 , 3 , 18.547 , 18.547 , 25.772 , 25.772 , 1.388 , 0.939 , 51.285 , 0.09376888071733958 , 36.949 , 0.103 , 122.31855373696655
4 , 13.5 , 0.5 , 0.5 , 24 , 75 , 33 , 132 , 3 , 17.898 , 17.898 , 33.567 , 33.567 , 1.417 , 0.946 , 51.566 , -0.166226359143351 , 36.391 , 0.103 , 129.4651087490683
2 , 13.6 , 0.5 , 0.5 , 24 , 72 , 30 , 126 , 3 , 17.927 , 17.927 , 36.48 , 36.48 , 1.429 , 0.944 , 51.948 , -0.16079385307251642 , 36.353 , 0.103 , 132.40759063455985
4 , 13.666666666666666 , 0.6 , 0.6 , 18 , 64 , 32 , 114 , 3 , 18.56 , 18.56 , 27.437 , 27.437 , 1.394 , 0.938 , 52.203 , 0.16535344538003882 , 37.448 , 0.103 , 123.99717276182439
4 , 13.812244897959184 , 0.5 , 0.5 , 21 , 73 , 35 , 129 , 3 , 21.518 , 21.518 , 34.555 , 34.555 , 1.451 , 0.944 , 52.759 , -0.031316775255711526 , 36.36 , 0.103 , 134.07242375805524
2 , 13.87192118226601 , 0.5 , 0.5 , 21 , 67 , 29 , 117 , 3 , 21.595 , 21.595 , 40.459 , 40.459 , 1.431 , 0.94 , 52.987 , 0.12357187924204177 , 37.028 , 0.081 , 139.05353560516156
4 , 13.995535714285714 , 0.5 , 0.5 , 24 , 71 , 28 , 123 , 3 , 17.938 , 17.938 , 39.415 , 39.415 , 1.444 , 0.942 , 53.459 , -0.11003120891021312 , 37.021 , 0.103 , 135.3526792679786
5 , 14.095238095238095 , 0.5 , 0.5 , 21 , 75 , 36 , 132 , 3 , 21.494 , 21.494 , 34.269 , 34.269 , 1.453 , 0.945 , 53.84 , -0.10583496483440763 , 37.054 , 0.103 , 133.76292409375722
3 , 14.21551724137931 , 0.5 , 0.5 , 24 , 73 , 29 , 126 , 3 , 17.917 , 17.917 , 38.701 , 38.701 , 1.442 , 0.943 , 54.299 , -0.0007081031009266159 , 37.655 , 0.103 , 134.61842421235707
6 , 14.285714285714283 , 0.6 , 0.6 , 18 , 62 , 28 , 108 , 3 , 18.587 , 18.587 , 31.669 , 31.669 , 1.412 , 0.934 , 54.567 , -0.016924985959884287 , 38.645 , 0.103 , 128.25527317030244
2 , 14.414746543778802 , 0.5 , 0.5 , 21 , 71 , 31 , 123 , 3 , 21.542 , 21.542 , 39.318 , 39.318 , 1.473 , 0.941 , 55.06 , 0.002830125691238583 , 37.379 , 0.103 , 138.8599717433873
1 , 14.53061224489796 , 0.5 , 0.5 , 21 , 68 , 28 , 117 , 3 , 21.581 , 21.581 , 43.043 , 43.043 , 1.447 , 0.939 , 55.503 , 0.1547634770686262 , 38.357 , 0.081 , 141.62449252657456
3 , 14.609195402298852 , 0.6 , 0.6 , 18 , 64 , 29 , 111 , 3 , 18.56 , 18.56 , 31.231 , 31.231 , 1.414 , 0.935 , 55.803 , -0.06801745609357879 , 39.465 , 0.103 , 127.79040873482973
3 , 14.6875 , 0.5 , 0.5 , 21 , 73 , 32 , 126 , 3 , 21.518 , 21.518 , 38.805 , 38.805 , 1.473 , 0.942 , 56.102 , -0.019996899862204487 , 38.087 , 0.103 , 138.32242274938284
2 , 14.793103448275861 , 0.5 , 0.5 , 21 , 70 , 29 , 120 , 3 , 21.555 , 21.555 , 42.32 , 42.32 , 1.487 , 0.939 , 56.505 , -0.06962644637884341 , 37.999 , 0.103 , 141.87504746697323
5 , 14.875 , 0.5 , 0.5 , 24 , 74 , 28 , 126 , 3 , 17.908 , 17.908 , 41.124 , 41.124 , 1.456 , 0.942 , 56.818 , 0.09941856337379801 , 39.023 , 0.103 , 137.03155658296026
4 , 14.96103896103896 , 0.5 , 0.5 , 21 , 75 , 33 , 129 , 3 , 21.494 , 21.494 , 38.326 , 38.326 , 1.474 , 0.943 , 57.147 , 0.24439462520278216 , 38.77 , 0.103 , 137.82055685182556
3 , 15.086206896551724 , 0.5 , 0.5 , 24 , 76 , 29 , 129 , 3 , 17.889 , 17.889 , 40.332 , 40.332 , 1.454 , 0.943 , 57.625 , -0.013989898596546202 , 39.632 , 0.103 , 136.22051939836717
5 , 15.235294117647058 , 0.5 , 0.5 , 21 , 77 , 34 , 132 , 3 , 21.472 , 21.472 , 37.88 , 37.88 , 1.475 , 0.943 , 58.195 , 0.2076407687188213 , 39.454 , 0.103 , 137.35182114961844
