Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000221021905472,0.05753414696236727,10.611604734413481,0.2692555702448039,0.17606252469752073,e76b8e05,745.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000221021905472,0.05913283332247584,10.611604734413481,0.2692555702448039,0.17606252469752073,e76b8e05,745.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004127882742115,0.04778099283434283,10.61216760063904,0.26926988706609156,0.1760426534692268,3980376f,751.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004127882742115,0.059224128348545436,10.61216760063904,0.26926988706609156,0.1760426534692268,3980376f,751.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004127882742115,0.058986172766034364,10.61216760063904,0.26926988706609156,0.1760426534692268,3980376f,751.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004127882742115,0.05910371172737012,10.61216760063904,0.26926988706609156,0.1760426534692268,3980376f,751.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004127882742115,0.06037140603206735,10.61216760063904,0.26926988706609156,0.1760426534692268,3980376f,751.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000293661188986,0.05902806622543616,10.61181792997279,0.26926099316149704,0.1760549977621324,92065661,746.8,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000293661188986,0.06022043731659548,10.61181792997279,0.26926099316149704,0.1760549977621324,92065661,746.8,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000293661188986,0.059920037824598,10.61181792997279,0.26926099316149704,0.1760549977621324,92065661,746.8,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000293661188986,0.06047347526371399,10.61181792997279,0.26926099316149704,0.1760549977621324,92065661,746.8,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000293661188986,0.059851025050207854,10.61181792997279,0.26926099316149704,0.1760549977621324,92065661,746.8,2.4,10.0
