Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration, best_index, best_cost, v2_c1,v2_c2,v2_c3,v4_c1,v4_c2,v4_c3,v6_c1,v6_c2,v6_c3
0.24163692606523418,0.3269258704466762,MN8014,MAD_M6C12,4.0310123779502565,4.444742944080075,SSPG,SSPG,0.07451205493139473,0.059779605132587885,7,1.500633446657958,238.2,6.2,22.0,180.1,9.7,44.3,193.5,5.9,48.9
0.23769239323578745,0.32713382502075217,VT8020,MAD_M6C12,4.0242232846657355,4.586136356673659,CPG,SSPG,0.06717588137892468,0.051673373163909166,2,2.178221714096633,265.2,5.6,23.5,151.2,10.0,47.3,159.0,6.0,46.3
0.2523654969752759,0.3192567559402902,VT8020,MAD_M6C12,4.136141837913917,4.0019567322198855,CPG,CPG,0.06618054337802332,0.05356252557490647,5,1.1319906986397508,277.3,6.2,22.4,135.7,9.3,45.9,194.7,5.9,45.3
0.25914570631574607,0.30387895400230003,VT8020,MAD_M6C12,4.404704060831927,4.63079016517278,SSPG,SSPG,0.07577899346307951,0.05134164097180428,4,1.8684467859413403,285.2,6.3,21.8,139.9,8.8,45.8,210.7,6.0,47.6
0.24137929638660377,0.30142352590151666,VT8020,MAD_M6C12,5.234682000915411,4.0154518517191455,SSPG,CPG,0.06635895986179041,0.05000844294298533,6,1.2628467455807137,296.1,6.3,22.1,181.1,9.7,45.1,212.7,6.3,48.7
0.2510916444596347,0.31185856360106495,VT8020,MAD_M6C12,4.524180531518167,4.016807606184593,CPG,CPG,0.06712150789705994,0.05088231384261758,1,1.1262373540434014,278.0,5.7,23.2,198.9,9.7,45.4,245.1,5.2,44.7
0.23467037259297802,0.30785295375459054,VT8020,MAD_M6C12,4.094857162850176,4.027818628823607,CPG,CPG,0.060639175404411216,0.05008781063055511,5,1.785527958755479,297.2,7.4,21.0,178.4,9.2,43.6,233.5,5.0,46.4
0.2574350537798119,0.3115450552854512,VT8020,MAD_M6C12,4.033362116944096,4.21287389003095,CPG,CPG,0.06178855556849858,0.05430555428514794,7,0.916286244340898,325.5,6.9,20.9,151.4,9.3,45.3,249.9,6.1,46.8
0.2365246576859104,0.2905661831991223,VT8020,MAD_M6C12,4.018129928123599,4.0169070269616185,CPG,CPG,0.0702466266819692,0.054725351077726844,0,1.778419337183332,314.9,5.8,22.0,158.6,9.4,44.5,213.6,5.0,45.6
0.25740457876242,0.3010093397162462,VT8020,MAD_M6C12,4.453432724088051,4.000477886285805,CPG,CPG,0.06424903325209179,0.05404158676120617,5,1.3884132934358027,317.1,7.5,22.1,188.3,9.0,44.8,244.5,6.3,44.1
0.2529575794889258,0.30384395850425355,VT8020,MAD_M6C12,4.123705486940632,4.01332315937672,CPG,CPG,0.06715218825028944,0.055420004180862285,0,1.0739271931624765,319.1,6.6,22.6,165.0,9.0,44.7,237.0,6.3,45.2
0.253509453001765,0.3022528916821283,VT8020,MAD_M6C12,4.019036085130963,4.2796807668392,CPG,CPG,0.06441295230240571,0.057593263512294865,7,1.2396834932591276,294.4,6.5,21.3,162.0,9.5,45.8,241.4,5.2,46.4
0.2584731455288589,0.29878154040005406,VT8020,MAD_M6C12,4.086548355480161,4.276119115458878,CPG,CPG,0.06309635682835522,0.05804508293870231,2,1.5615984711525113,333.1,6.9,23.0,174.1,9.3,45.8,254.3,5.8,47.4
0.25470948880155336,0.30420300051523563,VT8020,MAD_M6C12,5.059304736802979,4.016644079564694,CPG,CPG,0.0553944033492708,0.06015680157442091,3,1.3979352462640429,345.2,6.8,23.0,170.6,9.3,43.9,236.6,5.8,45.0
0.24096469165760404,0.3064022600156604,VT8020,MAD_M6C12,4.001223224848271,4.119162013516856,CPG,CPG,0.06929729371321725,0.05467019431920083,4,1.0283701048409264,317.0,6.6,22.7,185.6,9.4,45.0,219.7,5.5,47.4
0.24323621105308424,0.3079296813009941,VT8020,MAD_M6C12,4.682254056785748,4.488302876170875,CPG,CPG,0.06505417598595181,0.05012243581378849,4,1.6347145891266446,308.5,6.8,23.2,187.8,9.7,45.8,207.3,5.5,48.0
0.2347770636028073,0.30047754966175466,VT8020,MAD_M6C12,4.056198892820113,4.002506562214146,CPG,CPG,0.06255042668093672,0.054107869726558025,1,1.777253027104572,307.9,6.8,22.3,184.0,9.9,46.3,232.8,5.3,48.8
0.23391015435062124,0.30611990422131863,VT8020,MAD_M6C12,5.21945365573203,4.180802927032841,SSPG,CPG,0.06595203073220493,0.0541690871586033,6,1.7322463086688604,317.8,7.2,23.1,167.2,9.7,46.4,208.0,5.4,45.7
0.24519124411280663,0.30581915849157604,VT8020,MAD_M6C12,4.255527025654988,4.0092780346713335,CPG,CPG,0.06551629938114222,0.05203366147580063,5,1.7750870946884336,319.5,7.5,23.2,172.6,9.2,45.0,197.6,5.2,46.0
