motor,target_ratio,actual_ratio,gearbox,mass,efficiency,cost,ratio_error
U10,4.9,4.9,CPG,0.867,0.959,-0.3565677476835713,0.0
U10,5.0,5.0,SSPG,0.852,0.959,-0.3615368830043379,0.0
U10,5.1,5.1,CPG,0.866,0.955,-0.3543352039105265,0.0
U10,5.2,5.2,SSPG,0.849,0.96,-0.3631371146702543,0.0
U10,5.3,5.301075268817205,CPG,0.876,0.952,-0.3378395801149919,0.001075268817205
U10,5.4,5.4,SSPG,0.844,0.945,-0.3548657666569918,0.0
U10,5.5,5.5,SSPG,0.844,0.953,-0.3603894847637776,0.0
U10,5.6,5.6,CPG,0.884,0.956,-0.3490268174249904,0.0
U10,5.7,5.7,SSPG,0.839,0.947,-0.3573017468739512,0.0
U10,5.8,5.8,SSPG,0.894,0.962,-0.3499217530760418,0.0
U10,5.9,6.0,SSPG,0.853,0.952,-0.3562969814254954,0.0999999999999996
U10,6.0,6.0,SSPG,0.853,0.952,-0.3562969814254954,0.0
U10,6.1,6.0,SSPG,0.853,0.952,-0.3562969814254954,0.0999999999999996
U10,6.2,6.2,CPG,0.917,0.954,-0.3366689063760756,0.0
U10,6.3,6.3,SSPG,0.884,0.949,-0.3441084293483868,0.0
U10,6.4,6.4,CPG,0.951,0.958,-0.3279060345301823,0.0
U10,6.5,6.5,CPG,0.896,0.949,-0.34003265782837,0.0
U10,6.6,6.6,CPG,0.89,0.946,-0.3398459835869502,0.0
U10,6.7,6.700757575757578,CPG,0.916,0.946,-0.3241646420588212,0.0007575757575777
U10,6.8,6.8,CPG,0.955,0.958,-0.3267636136648555,0.0
U10,6.9,6.9,CPG,0.99,0.958,-0.3152886786560627,0.0
U10,7.0,7.0,SSPG,0.895,0.946,-0.3386064926670414,0.0
